City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,puerto madryn,-42.7692,-65.0385,69.73,32,0,3.38,AR,1680543222
210,madingou,-4.1536,13.55,76.75,87,93,2.82,CG,1680543222
211,millington,35.3415,-89.8973,68.18,82,100,6.91,US,1680543222
212,fairbanks,64.8378,-147.7164,14.09,85,40,3.44,US,1680543000
213,ulladulla,-35.35,150.4667,54.77,88,72,4.27,AU,1680543223
214,thompson,55.7435,-97.8558,3.36,66,20,4.61,CA,1680543120
215,saint pete beach,27.7253,-82.7412,88.2,61,0,5.75,US,1680543034
216,longyearbyen,78.2186,15.6401,10.24,79,75,20.71,SJ,1680543223
217,tuatapere,-46.1333,167.6833,50.0,90,54,3.89,NZ,1680543224
218,dashitou,43.3067,128.5114,45.14,64,100,6.2,CN,1680543224
219,tambun,-6.2641,107.0712,79.03,77,90,4.25,ID,1680543225
220,anyang,36.0994,114.3289,46.36,92,100,18.57,CN,1680543225
221,olinda,-8.0089,-34.8553,85.73,62,20,11.5,BR,1680543212
222,bow island,49.8668,-111.3684,28.58,93,100,8.05,CA,1680543007
223,igarka,67.4667,86.5833,-12.64,92,72,13.6,RU,1680543226
224,inongo,-1.95,18.2667,73.0,92,93,13.53,CD,1680543226
225,ahuimanu,21.4447,-157.8378,73.36,90,75,8.05,US,1680543226
226,angola,-12.5,18.5,64.13,93,74,4.16,AO,1680543227
227,onufriyivka,48.9072,33.4487,44.92,91,100,4.45,UA,1680543227
228,santa marta,11.2408,-74.199,91.45,58,20,6.91,CO,1680543064
229,eucaliptus,-17.5833,-67.5167,63.59,29,13,5.64,BO,1680543227
230,andra,62.5147,65.8878,24.08,85,100,7.81,RU,1680543228
231,loreto,22.2667,-101.9667,80.24,9,83,7.23,MX,1680543228
232,leningradskiy,69.3833,178.4167,-27.27,98,25,5.32,RU,1680543228
233,margate,51.3813,1.3862,47.89,55,1,5.01,GB,1680543228
234,ortakoy,38.7373,34.0387,53.85,40,99,5.48,TR,1680543229
235,solnechnyy,50.7214,136.6319,41.45,84,100,7.4,RU,1680543229
236,alekseyevskaya,50.2896,42.1845,54.81,72,80,8.63,RU,1680543229
237,avera,33.194,-82.5271,63.37,57,100,6.64,US,1680543230
238,hofn,64.2539,-15.2082,46.42,87,100,19.57,IS,1680543230
239,clyde river,70.4692,-68.5914,-9.17,77,0,5.75,CA,1680543057
240,bengkulu,-3.8004,102.2655,75.38,90,100,6.91,ID,1680543224
241,vilhena,-12.7406,-60.1458,77.22,78,75,5.75,BR,1680543230
242,taoudenni,22.6783,-3.9836,93.97,5,0,1.99,ML,1680543231
